"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones\notificaciones.model.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 9
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones\notificaciones.model.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones\notificaciones.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones\notificaciones.service.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 12, 39
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones\personas.model.spec.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones\personas.model.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 2, 40
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones\personas.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones\personas.service.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-admin\imagen.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-admin\imagen.service.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 4, 11, 36
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-admin\panel-principal-admin.component.css", "CSS", 0, 0, 0, 0, 0, 87, 14, 45, 146
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-admin\panel-principal-admin.component.html", "HTML", 0, 0, 0, 0, 54, 0, 0, 4, 58
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-admin\panel-principal-admin.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-admin\panel-principal-admin.component.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 5, 29, 119
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-tesorero\panel-principal-tesorero.component.css", "CSS", 0, 0, 0, 0, 0, 57, 22, 17, 96
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-tesorero\panel-principal-tesorero.component.html", "HTML", 0, 0, 0, 0, 54, 0, 0, 2, 56
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-tesorero\panel-principal-tesorero.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-tesorero\panel-principal-tesorero.component.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 3, 20, 101
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-user\panel-principal-user.component.css", "CSS", 0, 0, 0, 0, 0, 57, 7, 15, 79
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-user\panel-principal-user.component.html", "HTML", 0, 0, 0, 0, 52, 0, 0, 6, 58
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\panel-principal-user\panel-principal-user.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
